"INPUT","ID","RESPONSE"
"A partir de qué hora podremos registrar?","coordination.timming.registro","El registro es habilitado automaticamente y depende de tu horario de agenda. Inicia desde las 9 am. Para el caso de las optativas y especializantes puedes agendarlas apartir de la segunda semana cuando movilidad este abierto"
"Los de primer semestre vamos a agendar?","coordination.first.semeter.schedule","El horario de primer semestre es agendado por el personal de coordinacion solo es necesario que entres para revisarlo y validar que ya este agendado a http://siiauescolar.siiau.udg.mx"
"Yo reprobé una materia y ya no hay cupo y no es ninguna de las materias citadas, que puedo hacer?","coordination.subject.fail","Si reprobaste una materia y ya no hay cupos o no aparece. Porfavor levanta un ticket compartiendo todos tus datos asi como los de la materia que reprobaste el semestre pasado para poder agendarla"
"No permite agendar, dice que no están para la carrera","coordination.error.registro","Si no aparece en la lista de materias publicadas en la pagina de facebook entonces no es posible agendarla de lo contrario intentalo de nuevo en el transcurso del dia para que el sistema de siiau pueda actualizarce con las materias aprobadas para la carrera"
"El CRN no está ofertado para tu carrera y centro por movilidad","coordination.error.registro","Si no aparece en la lista de materias publicadas en la pagina de facebook entonces no es posible agendarla de lo contrario intentalo de nuevo en el transcurso del dia para que el sistema de siiau pueda actualizarce con las materias aprobadas para la carrera"
"Yo repetí optativas, Las cuales no están siendo ofertadas aquí. Qué procede?","coordination.subject.fail","Si reprobaste una materia y ya no hay cupos o no aparece. Porfavor levanta un ticket compartiendo todos tus datos asi como los de la materia que reprobaste el semestre pasado para poder agendarla"
"y existe alguna lista de optativas?","coordination.subjects.schedule.movilidad","Las materias por movilidad se publican la segunda semana de inicio de clases en la pagina de facebook: https://www.facebook.com/ing.cucei . Se pueden agendar en la tercera semana de clases"
"No puedo registrar ninguna materia optativa","coordination.error.registro","Si no aparece en la lista de materias publicadas en la pagina de facebook entonces no es posible agendarla de lo contrario intentalo de nuevo en el transcurso del dia para que el sistema de siiau pueda actualizarce con las materias aprobadas para la carrera"
"El profesor maestro no va da asiste a clases falta mucho","coordination.teacher.assistance","Si tu profesor no asiste a clases porfavor levanta un ticket con los datos de tu profesor, materia y horario para que podamos revisar esta falta. El proceso se realizara totalmente confidencial"
"Me reprobo un profesor sin motivo alguno","coordination.teacher.subject.fail","Si tu profesor te reprobo sin motivo alguno pofavor levanta un ticket. Asegurate de tener evidencia de los criterios de evaluacion asi como de todos los trabajos, proyectos y examenes entregados durante el semestre"
"Necesito dar de baja una materia","coordination.subject.baja","Para dar de baja una materia asegurate que aun estas en el tiempo indicado. El formulario para dar de baja una materia esta en la pagina de facebook https://www.facebook.com/ing.cucei/"
"mapa cucei","cucei.map","Entra a esta liga para poder ver un mapa de cucei: http://www.cucei.udg.mx/sites/default/files/mapa-cucei-3d-2018.pdf"
"Donde esta mi salon? Donde esta el salon","cucei.map","Entra a esta liga para poder ver un mapa de cucei: http://www.cucei.udg.mx/sites/default/files/mapa-cucei-3d-2018.pdf"
"Donde esta el edificio?","cucei.map","Entra a esta liga para poder ver un mapa de cucei: http://www.cucei.udg.mx/sites/default/files/mapa-cucei-3d-2018.pdf"
"Como agendar por movilidad","coordination.howto.movilidad","Para agendar por movilidad ingresa a http://siiauescolar.siiau.udg.mx e ingresa tus datos. 
Click en alumnos
Selecciona registro
Selecciona registro movilidad. Asegurate que tu agenda permita el registro pro movilidad y registra aquellas materias publicadas por la coordinacion en la pagina de facebook https://www.facebook.com/ing.cucei"
"Como agendar materias optativas?","coordination.howto.schedule.optativas","Para agendar por movilidad ingresa a http://siiauescolar.siiau.udg.mx e ingresa tus datos. 
Click en alumnos
Selecciona registro
Selecciona registro movilidad. Asegurate que tu agenda permita el registro pro movilidad y registra aquellas materias publicadas por la coordinacion en la pagina de facebook https://www.facebook.com/ing.cucei"
"","coordination.howto.schedule.especializante","Para agendar por movilidad ingresa a http://siiauescolar.siiau.udg.mx e ingresa tus datos. 
Click en alumnos
Selecciona registro
Selecciona registro movilidad. Asegurate que tu agenda permita el registro pro movilidad y registra aquellas materias publicadas por la coordinacion en la pagina de facebook https://www.facebook.com/ing.cucei"
